id,condition,slider_value,hypothesis,hypothesis_type,slider_response_type_collapsed,slider_value_normalized,slider_value_norm_2,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,action_response_collapsed,action_response
1,performance,35,both,prior,both_actions,0.215,0.215,chrome,1289,648,1366,768,FALSE,i don't know,none,27,f,english,142.031,14.077,3,both_actions,both
1,performance,58,button,prior,single_action,0.356,0.785,chrome,1289,648,1366,768,FALSE,i don't know,none,27,f,english,142.031,14.077,3,both_actions,both
1,performance,70,handle,prior,single_action,0.429,0.785,chrome,1289,648,1366,768,FALSE,i don't know,none,27,f,english,142.031,14.077,3,both_actions,both
2,learning,36,handle,prior,single_action,0.324,0.658,chrome,1230,676,1280,800,FALSE,logic,no,35,f,english,140.12,29.647,3,single_action,button
2,learning,38,both,prior,both_actions,0.342,0.342,chrome,1230,676,1280,800,FALSE,logic,no,35,f,english,140.12,29.647,3,single_action,button
2,learning,37,button,prior,single_action,0.333,0.658,chrome,1230,676,1280,800,FALSE,logic,no,35,f,english,140.12,29.647,3,single_action,button
3,learning,73,handle,prior,single_action,0.503,0.848,chrome,1028,600,1093,615,FALSE,if i could figure out which music box it was.,no.,47,m,english,236.229,74.277,3,single_action,button
3,learning,50,button,prior,single_action,0.345,0.848,chrome,1028,600,1093,615,FALSE,if i could figure out which music box it was.,no.,47,m,english,236.229,74.277,3,single_action,button
3,learning,22,both,prior,both_actions,0.152,0.152,chrome,1028,600,1093,615,FALSE,if i could figure out which music box it was.,no.,47,m,english,236.229,74.277,3,single_action,button
4,learning,84,both,prior,both_actions,0.587,0.587,chrome,1082,600,1920,1080,FALSE,studying how people reason about cause and effect.,no problems.,30,male,english,255.826,31.907,3,both_actions,both
4,learning,31,button,prior,single_action,0.217,0.413,chrome,1082,600,1920,1080,FALSE,studying how people reason about cause and effect.,no problems.,30,male,english,255.826,31.907,3,both_actions,both
4,learning,28,handle,prior,single_action,0.196,0.413,chrome,1082,600,1920,1080,FALSE,studying how people reason about cause and effect.,no problems.,30,male,english,255.826,31.907,3,both_actions,both
5,learning,90,both,prior,both_actions,0.4,0.4,chrome,1533,769,1600,900,FALSE,i'm not sure,no,34,f,english,635.05,31.619,3,both_actions,both
5,learning,95,handle,prior,single_action,0.422,0.6,chrome,1533,769,1600,900,FALSE,i'm not sure,no,34,f,english,635.05,31.619,3,both_actions,both
5,learning,40,button,prior,single_action,0.178,0.6,chrome,1533,769,1600,900,FALSE,i'm not sure,no,34,f,english,635.05,31.619,3,both_actions,both
6,performance,100,handle,prior,single_action,0.333,0.667,chrome,1076,681,1280,800,FALSE,reasoning,no,38,m,english,159.828,20.912,3,both_actions,both
6,performance,100,both,prior,both_actions,0.333,0.333,chrome,1076,681,1280,800,FALSE,reasoning,no,38,m,english,159.828,20.912,3,both_actions,both
6,performance,100,button,prior,single_action,0.333,0.667,chrome,1076,681,1280,800,FALSE,reasoning,no,38,m,english,159.828,20.912,3,both_actions,both
7,presentation,44,both,prior,both_actions,0.344,0.344,chrome,1016,510,1366,768,FALSE,risk accessment bias,no comment,63,m,english,223.658,26.923,3,both_actions,both
7,presentation,42,button,prior,single_action,0.328,0.656,chrome,1016,510,1366,768,FALSE,risk accessment bias,no comment,63,m,english,223.658,26.923,3,both_actions,both
7,presentation,42,handle,prior,single_action,0.328,0.656,chrome,1016,510,1366,768,FALSE,risk accessment bias,no comment,63,m,english,223.658,26.923,3,both_actions,both
8,presentation,20,handle,prior,single_action,0.146,0.27,chrome,1176,588,1366,768,FALSE,logical guessing,no,49,f,english,357.264,53.916,3,both_actions,both
8,presentation,100,both,prior,both_actions,0.73,0.73,chrome,1176,588,1366,768,FALSE,logical guessing,no,49,f,english,357.264,53.916,3,both_actions,both
8,presentation,17,button,prior,single_action,0.124,0.27,chrome,1176,588,1366,768,FALSE,logical guessing,no,49,f,english,357.264,53.916,3,both_actions,both
9,learning,99,button,prior,single_action,0.339,0.675,chrome,1843,1080,1920,1200,FALSE,understanding how an action can make something work.,great survey and would love to work on others from you in the future. ,31,f,english,208.604,52.55,3,single_action,button
9,learning,98,handle,prior,single_action,0.336,0.675,chrome,1843,1080,1920,1200,FALSE,understanding how an action can make something work.,great survey and would love to work on others from you in the future. ,31,f,english,208.604,52.55,3,single_action,button
9,learning,95,both,prior,both_actions,0.325,0.325,chrome,1843,1080,1920,1200,FALSE,understanding how an action can make something work.,great survey and would love to work on others from you in the future. ,31,f,english,208.604,52.55,3,single_action,button
10,performance,34,handle,prior,single_action,0.318,0.673,chrome,1175,615,1366,768,FALSE,i have no idea.,no.,42,f,english,196.382,44.338,3,single_action,handle
10,performance,35,both,prior,both_actions,0.327,0.327,chrome,1175,615,1366,768,FALSE,i have no idea.,no.,42,f,english,196.382,44.338,3,single_action,handle
10,performance,38,button,prior,single_action,0.355,0.673,chrome,1175,615,1366,768,FALSE,i have no idea.,no.,42,f,english,196.382,44.338,3,single_action,handle
11,performance,75,both,prior,both_actions,0.346,0.346,chrome,1111,625,1366,768,FALSE,i'm not really sure.,no,40,f,english,400.412,28.651,0,single_action,button
11,performance,82,button,prior,single_action,0.378,0.654,chrome,1111,625,1366,768,FALSE,i'm not really sure.,no,40,f,english,400.412,28.651,0,single_action,button
11,performance,60,handle,prior,single_action,0.276,0.654,chrome,1111,625,1366,768,FALSE,i'm not really sure.,no,40,f,english,400.412,28.651,0,single_action,button
